LK0001|我国现行法律体系中专门针对无线电管理的最高法律文件及其立法机关是：|D|||中华人民共和国无线电管理办法，工业和信息化部|中华人民共和国业余无线电台管理办法，工业和信息化部|中华人民共和国电信条例，国务院|中华人民共和国无线电管理条例，国务院和中央军委
LK0002|我国现行法律体系中专门针对业余无线电台管理的最高法律文件及其立法机关是：|A|||业余无线电台管理办法，工业和信息化部|中华人民共和国电信条例，国务院|个人业余无线电台管理暂行办法，国家体委和国家无委|业余无线电台管理暂行规定，国家体委和国家无委
LK0003|我国的无线电主管部门是：|A|||各级无线电管理机构|各地业余无线电协会|各级体育管理机构|各地电信管理局
LK0004|我国依法负责对业余无线电台实施监督管理的机构是：|B|||在国家或地方民政部门注册的业余无线电协会|国家无线电管理机构和地方无线电管理机构|国家和地方公安部门|国家体育管理机构和地方体育管理机构
LK0005|《业余无线电台管理办法》所说的“地方无线电管理机构”指的是：|B|||地方业余无线电协会或者类似组织机构|省、自治区、直辖市无线电管理机构|地市县（区）及以下各级无线电管理机构|各地方与无线电设备生产销售和无线电应用有关的行政管理机构
LK0011|国家鼓励和支持业余无线电台开展下列活动：|A|||无线电通信技术研究、普及活动以及突发重大自然灾害等紧急情况下的应急通信活动|机动车辆行车服务性通信活动|作为日常公益活动的通信工具|休闲娱乐性交谈
LK0012|关于业余电台管理的正确说法是：|D|||在业余电台与其他业务电台遇到干扰纠纷时无条件优先保护其他业务电台|业余无线电爱好者的一切行为都受国家法律保护|通过法律手段限制业余无线电台的设置|依法设置的业余无线电台受国家法律保护
LK0104|无线电频率的使用必须得到各级无线电管理机构的批准，基本依据是“无线电频谱资源属于国家所有”，出自于下列法律：|A|||中华人民共和国物权法|中华人民共和国民法通则|中华人民共和国刑法|中华人民共和国电信法
LK0007|我国对无线电管理术语“业余业务”、“卫星业余业务”和“业余无线电台”做出具体定义的法规文件是|A|||中华人民共和国无线电频率划分规定|中华人民共和国电信条例|中华人民共和国无线电管理条例|无线电台执照管理规定
LK0008|业余电台的法定用途为：|A|||供业余无线电爱好者进行自我训练、相互通信和技术研究|供公民在业余时间进行与个人生活事务有关的通信|供私家车主或者相应组织作为行车安全保障和途中消遣工具|供公民在业余时间进行休闲娱乐
LK0111|无线电业余业务是供业余无线电爱好者作下列用途的无线电通信业务：|D|||救灾抢险、车队联络和技术学习|娱乐休闲、报告路况和公益服务|技术教学、民兵训练和公益通信|自我训练、相互通信和技术研究
LK0187|无线电波是指：|B|||频率为3,000GHz以下的所有电磁波|频率为3,000GHz以下的在空间传播的电磁波|频率为30 Hz至30GHz的在空间传播的电磁波|频率为3,000 Hz至3,000 MHz的电磁波
LK0183|关于无线电通信的正确说法：|D|||无线电通信包括利用光在内的所有电磁波所进行的各种通信|产生无线电波并用其加热属于无线电通信的一种应用|利用无线电波进行的符号、信号、文字、图像、声音以外的信息传输不属于无线电通信|无线电通信是指利用无线电波进行的符号、信号、文字、图像、声音或其他信息的传输、发射或接收。
LK0026|个人申请设置具有发信功能的业余无线电台的年龄条件是：|C|||具备《业余无线电台操作证书》者申请设置业余无线电台不受年龄限制|年满十四周岁|年满十八周岁|年满十六周岁
LK0041|申请设置业余无线电台应当具备的条件有：|B|||熟悉无线电管理规定、具备当地无线电管理机构委托的考试机构设置的操作技术能力标准、发射设备符合国家技术标准、法律和行政法规规定的其他条件|熟悉无线电管理规定、具备国家规定的操作技术能力、发射设备符合国家技术标准、法律和行政法规规定的其他条件|加入指定协会、具备当地无线电管理机构规定的操作技术能力、发射设备符合国家技术标准、法律和行政法规规定的其他条件|熟悉无线电管理规定、具备国家规定的操作技术能力、发射设备符合国家技术标准、当地无线电管理机构委托的受理机构设置的其他条件
LK0042|使用业余无线电台应当具备的条件有：|D|||使用具有发信功能的业余无线电台的，应当年满十八周岁|具备国家或地方无线电管理机构核发的业余无线电台执照|熟悉无线电管理规定、实际上具备国家规定的操作技术能力但不必需取得相应的证明|熟悉无线电管理规定、具备国家规定的操作技术能力并取得相应操作技术能力证明
LK0010|按照《业余电台管理办法》规定，申请设置使用配备有多台业余无线电发射设备的业余无线电台，应该：|A|||视为一个业余电台，指配一个电台呼号，但所有设备均应经过核定并将参数载入电台执照|每台设备视为一个业余电台，各指配一个电台呼号，并都应经过核定并将参数载入电台执照|视为一个业余电台，指配一个电台呼号，每个频段选择一台设备加以核定并将参数载入电台执照|视为一个业余电台，指配一个电台呼号，其中只需有一台设备加以核定并将参数载入电台执照
LK0028|申请设置下列业余无线电台时应在《业余无线电台设置（变更）申请表》 的“台站种类”选择“特殊”类：|B|||用于业余卫星通信的地面业余无线电台|中继台、信标台、空间台|需要到外地移动操作的手持台|移动操作的车载台
LK0029|申请设置信标台、空间台和技术参数需要超出管理办法规定的特殊业余电台的办法为：|B|||必须由地方业余无线电协会作为申请单位，经本地无线电管理机构办理批准设台|在《业余无线电台设置（变更）申请表》 的“台站种类”选择“特殊”类，由地方无线电管理机构受理和初审后交国家无线电管理机构审批|先按设置一般业余电台的办法申请，然后再到本地无线电管理机构办理变更执照核定内容|按照设置一般业余电台的办法申请即可，然后根据需要操作就可以
LK0032|设置通信范围涉及两个以上的省、自治区、直辖市或者涉及境外的一般业余无线电台，审批机构是下列中：|B|||设台地的地方无线电民间组织|国家无线电管理机构或其委托的设台地的地方无线电管理机构|设台地地方无线电管理机构|国家无线电管理机构委托的设台地地方无线电民间组织
LK0033|按照在省、自治区、直辖市范围内通信所申请设置的业余无线电台，如想要将通信范围扩大至涉及两个以上的省、自治区、直辖市或者涉及境外，或者要到设台地以外进行异地发射操作，须办理下列手续：|D|||反正已经有了电台执照，只需向核发执照的无线电管理机构通报变更情况即可，不必申请办理变更和换发执照|反正已经有了电台执照，可先扩大操作起来，等执照有效期届满时再申请办理变更手续，换发业余无线电台执照|只要不会被发现，可以不申请办理变更手续，悄悄越限操作|事先向核发执照的无线电管理机构申请办理变更手续，按相关流程经国家无线电管理机构或其委托的设台地的地方无线电管理机构批准后，换发业余无线电台执照
LK0044|业余无线电台执照有效期届满后需要继续使用的，应当在下列期限内向核发执照的无线电管理机构申请办理延续手续：|B|||有效期届满一个月之内|有效期届满一个月前|有效期届满二十天前|有效期届满三个月之内
LK0045|因改进或调整业余发射设备使业余无线电台的技术参数超出其业余无线电台执照所核定的范围时，应当办理下列手续：|A|||及时向核发执照的无线电管理机构申请办理变更手续，换发业余无线电台执照|等执照有效期届满时向核发执照的无线电管理机构申请办理变更手续，换发业余无线电台执照|只需及时向核发执照的无线电管理机构通报变更情况，进行备案即可|只要设备型号和产品序列号没有改变，不必申请办理变更手续
LK0046|终止使用业余无线电台的，应当向下列机构申请注销执照：|C|||受国家无线电管理机构委托的全国性业余无线电民间组织|受国家无线电管理机构委托的地方业余无线电民间组织|核发业余无线电台执照的无线电管理机构|国家无线电管理机构
LK0024|业余无线电台专用无线电发射设备的重要特征是：|D|||发射方式必须包含调频|发射频率必须覆盖所有业余频段|必须具有数字对讲方式|发射频率不得超出业余频段
LK0025|业余无线电发射设备的下列指标必须符合国家的相关规定：|A|||频率容限和杂散域发射功率|频率容限和带外发射|指配频带和必要带宽|频率调制频偏和调制度
