1|afc41c5ec816|二等電臺可以使用下列哪些頻帶？|B|||160、60、40與10 公尺|160、30、17、15、12與10 公尺|160、60、30、17、12與10 公尺|60、20、17與12 公尺
2|a5747522abfa|下列哪個頻帶禁止使用話務操作？|B|||160 公尺|30 公尺|12 公尺|17 公尺
3|0da255f498d9|下列哪個頻帶禁止發射影像？|D|||160 公尺|20 公尺|12 公尺|30 公尺
4|e7abc708d662|下列哪個業餘頻帶只能在特定頻道通訊，而非使用整個頻帶？|A|||12 公尺|60 公尺|11 公尺|75 公尺
5|81ccf702505f|下列哪個頻率是二等電臺在40公尺頻帶可用的部份？|A|||7.200 百萬赫|7.500 百萬赫|40.500 百萬赫|40.200 百萬赫
6|6b7d2ed8245c|下列哪個頻率是二等電臺在160公尺話務頻帶可用的部份？|D|||4,005 千赫|3,900 千赫|1,975 千赫|1,875 千赫
7|5819f1567f6b|下列哪個頻率是二等電臺在20公尺話務頻帶可用的部份？|B|||14,405 千赫|14,305 千赫|14,605 千赫|14,505 千赫
8|92613daf182e|下列哪個頻率是二等電臺在80公尺頻帶可用的部份？|A|||3,560 千赫|1,855 千赫|2,560 千赫|3,650 千赫
9|e95ab2608e83|下列哪個頻率是二等電臺在15公尺頻帶可用的部份？|D|||24,900 千赫|18,155 千赫|14,250 千赫|21,300 千赫
10|7e3a71b2f340|下列哪個頻率是二等電臺控制員可以使用的？|D|||28.020 百萬赫|28.350 百萬赫|28.550 百萬赫|以上皆是
11|fdcc4638b067|當二等電臺不被允許使用特定頻帶的話務部份時，哪個話務區段部份通常是可允許使用的？|D|||頻帶的下段（較低頻率）|7.3百萬赫以下頻率的上段與14.150百萬赫以上頻率的下段|7.3百萬赫以下頻率的下段與14.150百萬赫以上頻率的上段|頻帶的上段（較高頻率）
12|bf4d514e0c47|當NCC規定的頻帶在業餘業務為次要使用時，須遵守下列何者規定？|A|||業餘電臺在不對主要使用者造成有害干擾時允許使用|業餘電臺只在緊急情況下被允許使用該頻帶|業餘電臺在每天的特定時段使用，而主要使用者可以使用24小時|業餘電臺使用一個頻率之前，先記錄主要服務的呼號
13|19a77bed68ab|當二等業餘電臺在30公尺頻帶操作時，如果受到主要業務電臺干擾時，如何處理是恰當的？|B|||向NCC檢舉該干擾|停止自己的發射或是移至無干擾的頻率|試圖聯絡該電臺並要求他停止干擾|增加發射功率以克服干擾
14|d4bfbfa379fe|控制員持有NCC核發的二等電臺允許操作的頻帶是ITU的哪個區域？|D|||1區|以上皆可|2區|3區
15|144c07644559|業餘電臺所架設的天線離地面多少高度以上，須設置航空色標及標識燈具?|B|||9 公尺|60 公尺|100 公尺|30 公尺
16|e0637347b351|示標電臺(Beacon)遵守下列何者規定?|C|||頻率由國家示標電臺組織指定|頻率須定期上網公布|相同電臺位置於相同頻帶僅能發射一個示標信號|示標電臺不須自動控制
17|777551200762|根據NCC規定，示標電臺的作用是什麼?|C|||確認網路頻率|傳送公共利益有關的布告欄給業餘電臺|觀察傳播與接收狀況|自動確認中繼臺
18|ef698adf4bfb|何時業餘電臺可以對公眾轉傳廣播內容?|C|||廣播內容須獲得官方緊急救難單位許可|以上皆是|廣播內容與大眾安全直接相關而且無其他通訊方式可用時|由NCC許可
19|10021614c3e9|業餘電臺何時可以傳送音樂?|A|||載人太空船轉傳的附帶部分時|頻率高於1,215百萬赫的傳輸時|不產生混附發射即可傳送|不是故意即可
20|e4efbdcda3d4|業餘電臺何時可傳達密碼?|C|||在宣布通訊緊急時|個人例行訊息傳送時|NCC特准時|控制太空電臺時
21|fd3cdf205839|業餘電臺使用縮寫或程序信號的限制是什麼?|B|||僅Q簡語可用|對訊息的意義不會產生混淆不清即可|只准用「10編碼」|不准使用
22|44415f55423e|如何依業餘無線電實務選擇發射頻率?|B|||發射前先監聽有無他人正在使用|以上皆是|頻率與模式須符合執照權限|符合業餘無線電頻帶規劃
