1-Third-tw-108|1|下列敘述何者為NCC業餘無線電法規規範的目的?|A|||提昇無線電的通訊與技術|以上皆是|提供國際非營利組織的通訊|儘可能給最多的公民提供個人無線電通訊
2-Third-tw-108|2|在我國是哪一個機關負責業餘無線電法規?|A|||國家通訊傳播委員會|內政部|國際電信聯盟|國防部
3-Third-tw-108|3|NCC的法規內哪一部分包含了業餘無線電操作?|B|||專用電信設置使用及連接公共通信系統管理辦法|業餘無線電管理辦法|學術試驗無線電臺管理辦法|電信法
4-Third-tw-108|4|下述何者為NCC業餘無線電法規規範的目的?|D|||訓練軍事電臺操作人員|以上皆是|提供我國救災單位廉價的通訊|促進國際交流
5-Third-tw-108|5|下列何者會針對中繼電臺的收發頻道跟其他數據提出建議?|A|||頻率協調員|頻譜管理員|國家通訊傳播委員會地區監理處|國際電信聯盟
6-Third-tw-108|6|誰來遴選頻率協調員?|C|||國家通訊傳播委員會地區監理處|全國獨立頻率協調員理事會辦公室地方分會|其電臺有資格作為中繼電臺的本地或地區地區的業餘無線電人員|國家通訊傳播委員會射頻與資源管理處
7-Third-tw-108|7|下列何者為NCC業餘無線管理辦法定義的業餘無線電臺?|D|||安裝業餘無線電的接收機、發射機及功率放大器的建築物|由非專業人員操作的任何無線電電臺|供娛樂用的任何無線電電臺|在業餘無線電組成傳送無線電通信的設備的電臺
8-Third-tw-108|8|下列何者是操作業餘無線電中被允許的?|C|||提供低價位的傳播來創業|利用業餘無線電間傳送訊息的途徑收取外快|讓業餘無線電人員可以進行無線電的試驗，並與全世界的業餘無線電人員交流。|向朋友傳送音樂及影像
9-Third-tw-108|9|什麼是國際電信聯盟(ITU)?|B|||NCC的一個部門|聯合國的負責相關訊息及通訊技術事務的機構|獨立的頻率協調機構|美國電信部門的一個機構
10-Third-tw-108|10|哪一個頻率是在6公尺波段內的?|C|||49.0 百萬赫|222.15 百萬赫|50.05 百萬赫|28.50 百萬赫
11-Third-tw-108|11|當你利用145.52 百萬赫發送時，你是使用哪一個業餘波段?|C|||20 公尺|14 公尺|2 公尺|6 公尺
12-Third-tw-108|12|3等業餘無線臺執照可操作70公分波段的哪一頻率?|B|||144.520 百萬赫|439.350 百萬赫|50.05 百萬赫|145.520 百萬赫
13-Third-tw-108|13|3等業餘無線臺執照可操作於2公尺波段的哪一頻率?|C|||439.35 百萬赫|50.05 百萬赫|145.52 百萬赫|436.52 百萬赫
14-Third-tw-108|14|如果你在50.1百萬赫上發送，請問你是操作於哪一業餘波段?|B|||15 公尺|6 公尺|2 公尺|10 公尺
15-Third-tw-108|15|業餘無線電操作在70公分波段的某些部分是次要業務使用，理由為下列何者?|D|||國際通訊在70公分是不被允許的|本國業餘電臺必需給予外國電臺優先權|數位傳輸在70公分是不被允許的|業餘無線電人員在這個波段也許會發現非業餘電臺，必須避免干擾他們
16-Third-tw-108|16|為什麼不可把傳送頻率設定正好在業餘波段的邊緣?|C|||調變後的頻率不會超過波段的邊緣|允許發射機頻率的偏移|以上皆是|允許在發射頻率顯示器校正誤差
17-Third-tw-108|17|在30百萬赫以上的哪些波段提供3等業餘無線臺執照使用?|B|||6公尺、2公尺、1.25公尺|6公尺、2公尺、70公分|2公尺、70公分|2公尺、13公分
18-Third-tw-108|18|在50.0-50.1 百萬赫及144.0-144.1 百萬赫的模式限定，允許作業的模式為何?|A|||CW|CW跟RTTY|CW跟SSB|SSB
19-Third-tw-108|19|哪一種呼號在字首跟字尾是由單一字母組成?|D|||順序性|紀念性|自選|特殊活動
20-Third-tw-108|20|下列何者為有效的我國電臺呼號?|D|||BA3505|KDKA|11Q1176|BV3ABC
21-Third-tw-108|21|NCC核發的業餘電臺執照允許甚麼型式的國際通訊?|C|||有商業行為或個人特質評論的相關通信|國際廣播電臺允許的任何通信|與業餘無線電服務及個人特色評論的相關通信|比賽事項的相關通信，其他都禁止
22-Third-tw-108|22|在國外，甚麼時候可以操作業餘無線電臺?|B|||當授權允許使用它國語言時|當他國已授權時|當有雙方協議的第三方通訊時|當你在國外與未取得執照的個人通信時
23-Third-tw-108|23|下列何者為三等業餘無線電臺可選擇的呼號?|D|||KA1X|以上皆是|W1XX|BM2XXX
24-Third-tw-108|24|NCC所核發的業餘無線電人員執照有效期限為何?|B|||20年|10年|5年|終身
25-Third-tw-108|25|下列何者是業餘無線電人員執照有效期屆滿前申請換照的期間?|C|||四個月起三個月內|二個月起一個月內|六個月起五個月內|沒有規定
26-Third-tw-108|26|請問當你通過了業餘無線電測試，何時可以開始在業餘頻道上操作自己的機器?|B|||立刻|取得NCC核發給你業餘無線電人員執照及電臺執照|要等到你收到NCC的執照|考試過後30天
27-Third-tw-108|27|當你發現執照已過期，可以繼續在業餘無線電頻道上操作嗎?|D|||可以繼續操作兩年|可以，但是你的呼號末尾是GP|可以，但是必須在授權的網絡|不行
