E1A01|Which of the following carrier frequencies is illegal for LSB AFSK emissions on the 17 meter band RTTY and data segment of 18.068 to 18.110 MHz?|D||97.305, 97.307(b)|18.100 MHz|18.110 MHz|18.107 MHz|18.068 MHz
E1A02|When using a transceiver that displays the carrier frequency of phone signals, which of the following displayed frequencies represents the lowest frequency at which a properly adjusted LSB emission will be totally within the band?|C||97.301, 97.305|300 Hz above the lower band edge|1 kHz above the lower band edge|3 kHz above the lower band edge|The exact lower band edge
E1A03|What is the maximum legal carrier frequency on the 20 meter band for transmitting USB AFSK digital signals having a 1 kHz bandwidth?|C||97.305, 97.307(b)|14.349 MHz|14.070 MHz|14.149 MHz|14.100 MHz
E1A04|With your transceiver displaying the carrier frequency of phone signals, you hear a DX station calling CQ on 3.601 MHz LSB. Is it legal to return the call using lower sideband on the same frequency?|B||97.301, 97.305|No, U.S. stations are not permitted to use phone emissions below 3.610 MHz|No, the sideband will extend beyond the edge of the phone band segment|Yes, because the DX station initiated the contact|Yes, because the displayed frequency is within the 75 meter phone band segment
E1A05|What is the maximum power output permitted on the 60 meter band?|D||97.313|100 watts PEP effective radiated power relative to an isotropic radiator|50 watts PEP effective radiated power relative to an isotropic radiator|50 watts PEP effective radiated power relative to a dipole|100 watts PEP effective radiated power relative to the gain of a half-wave dipole
E1A06|Where must the carrier frequency of a CW signal be set to comply with FCC rules for 60 meter operation?|A||97.303(h)(1)|At the center frequency of the channel|At the highest frequency of the channel|On any frequency where the signal's sidebands are within the channel|At the lowest frequency of the channel
E1A07|What is the maximum power permitted on the 2200 meter band?|C||97.313(k)|50 watts PEP|5 watts EIRP (Equivalent isotropic radiated power)|1 watt EIRP (Equivalent isotropic radiated power)|100 watts PEP
E1A08|If a station in a message forwarding system inadvertently forwards a message that is in violation of FCC rules, who is primarily accountable for the rules violation?|C||97.219|The control operator of the packet bulletin board station|The control operators of all the stations in the system not authenticating the source from which they accept communications|The control operator of the originating station|The control operators of all the stations in the system
E1A09|What action or actions should you take if your digital message forwarding station inadvertently forwards a communication that violates FCC rules?|B||97.219|Notify the nearest FCC Field Engineers office|Discontinue forwarding the communication as soon as you become aware of it|Notify the originating station that the communication does not comply with FCC rules|All these choices are correct
E1A10|If an amateur station is installed aboard a ship or aircraft, what condition must be met before the station is operated?|A||97.11|Its operation must be approved by the master of the ship or the pilot in command of the aircraft|The amateur station operator must agree not to transmit when the main radio of the ship or aircraft is in use|The amateur operator must have an FCC Marine or Aircraft endorsement on his or her amateur license|The amateur station must have a power supply that is completely independent of the main ship or aircraft power supply
E1A11|Which of the following describes authorization or licensing required when operating an amateur station aboard a U.S.-registered vessel in international waters?|D||97.5|Any amateur license with an FCC Marine or Aircraft endorsement|An unrestricted Radiotelephone Operator Permit|Only General Class or higher amateur licenses|Any FCC-issued amateur license
E1A12|What special operating frequency restrictions are imposed on slow scan TV transmissions?|A|||They are restricted to phone band segments|None; they are allowed on all amateur frequencies|They are restricted to 7.245 MHz, 14.245 MHz, 21.345 MHz, and 28.945 MHz|They are not permitted above 54 MHz
E1A13|Who must be in physical control of the station apparatus of an amateur station aboard any vessel or craft that is documented or registered in the United States?|D||97.5|Any person named in an amateur station license grant or a person holding an unrestricted Radiotelephone Operator Permit|Only a person named in an amateur station license grant|Only a person with an FCC Marine Radio license grant|Any person holding an FCC issued amateur license or who is authorized for alien reciprocal operation
E1A14|Except in some parts of Alaska, what is the maximum power permitted on the 630 meter band?|C||97.313(l)|50 watts PEP|100 watts PEP|5 watts EIRP|1 watt EIRP
E1B01|Which of the following constitutes a spurious emission?|A||97.3|An emission outside the signal's necessary bandwidth that can be reduced or eliminated without affecting the information transmitted|An amateur station transmission made without the proper call sign identification|Any transmitted signal that unintentionally interferes with another licensed radio station|A signal transmitted to prevent its detection by any station other than the intended recipient
E1B02|Which of the following is an acceptable bandwidth for Digital Radio Mondiale (DRM) based voice or SSTV digital transmissions made on the HF amateur bands?|A||97.307(f)(2)|3 kHz|20 kHz|15 kHz|10 kHz
E1B03|Within what distance must an amateur station protect an FCC monitoring facility from harmful interference?|A||97.13|1 mile|3 miles|10 miles|30 miles
E1B04|What must be done before placing an amateur station within an officially designated wilderness area or wildlife preserve, or an area listed in the National Register of Historic Places?|D||97.13, 1.1305-1.1319|A letter of intent must be filed with the Environmental Protection Agency|A proposal must be submitted to the National Park Service|A form FSD-15 must be submitted to the Department of the Interior|An Environmental Assessment must be submitted to the FCC
E1B05|What is the National Radio Quiet Zone?|A||97.3|An area surrounding the National Radio Astronomy Observatory|An area in Puerto Rico surrounding the Arecibo Radio Telescope|An area in New Mexico surrounding the White Sands Test Area|An area in Florida surrounding Cape Canaveral
E1B06|Which of the following additional rules apply if you are installing an amateur station antenna at a site at or near a public use airport?|A||97.15|You may have to notify the Federal Aviation Administration and register it with the FCC as required by Part 17 of the FCC rules|You must submit engineering drawings to the FAA|You must file an Environmental Impact Statement with the EPA before construction begins|You must obtain a construction permit from the airport zoning authority
E1B07|To what type of regulations does PRB-1 apply?|A||97.15|State and local zoning|FAA tower height limits|Use of wireless devices in vehicles|Homeowners associations
E1B08|What limitations may the FCC place on an amateur station if its signal causes interference to domestic broadcast reception, assuming that the receivers involved are of good engineering design?|D||97.121|The amateur station must cease operation on all frequencies below 30 MHz|The amateur station must cease operation on all frequencies above 30 MHz|The amateur station must cease operation|The amateur station must avoid transmitting during certain hours on frequencies that cause the interference
E1B09|Which amateur stations may be operated under RACES rules?|B||97.407|Any FCC-licensed amateur station participating in the Military Auxiliary Radio System (MARS)|Any FCC-licensed amateur station certified by the responsible civil defense organization for the area served|Any FCC-licensed amateur station except a Technician Class|Only those club stations licensed to Amateur Extra Class operators
E1B10|What frequencies are authorized to an amateur station operating under RACES rules?|A||97.407|All amateur service frequencies authorized to the control operator|Specific segments in the amateur service MF, HF, VHF and UHF bands|Military Auxiliary Radio System (MARS) channels|Specific local government channels
E1B11|What does PRB-1 require of regulations affecting amateur radio?|A||97.15|Reasonable accommodations of amateur radio must be made|Amateur radio operations must be permitted in any private residence|No limitations may be placed on antenna size or placement|Use of wireless devices in a vehicle is exempt from regulation
E1B12|What must the control operator of a repeater operating in the 70 cm band do if a radiolocation system experiences interference from that repeater?|A||97.303(b)|Cease operation or make changes to the repeater to mitigate the interference|File an FAA NOTAM (Notice to Airmen) with the repeater system's ERP, call sign, and six-character grid locator|Reduce the repeater antenna HAAT (Height Above Average Terrain)|All these choices are correct
E1C01|What is the maximum bandwidth for a data emission on 60 meters?|A||97.303|2.8 kHz|60 Hz|1.5 kHz|170 Hz
E1C02|Which of the following types of communications may be transmitted to amateur stations in foreign countries?|A||97.117|Communications incidental to the purpose of the amateur service and remarks of a personal nature|Business-related messages for non-profit organizations|Messages intended for users of the maritime satellite service|All these choices are correct
E1C03|How do the control operator responsibilities of a station under automatic control differ from one under local control?|D||97.109(d)|Under local control there is no control operator|Under automatic control there is no control operator|Under local control a control operator is not required to be present at a control point|Under automatic control the control operator is not required to be present at the control point
E1C04|What is meant by IARP?|A|||An international amateur radio permit that allows U.S. amateurs to operate in certain countries of the Americas|An indication of increased antenna reflected power|The internal amateur radio practices policy of the FCC|A forecast of intermittent aurora radio propagation
E1C05|When may an automatically controlled station originate third party communications?|D||97.221(c)(1), 97.115(c)|Only when transmitting RTTY or data emissions|When approved by the National Telecommunication and Information Administration|When agreed upon by the sending or receiving station|Never
E1C06|Which of the following is required in order to operate in accordance with CEPT rules in foreign countries where permitted?|B|||The U.S. embassy must approve of your operation|You must bring a copy of FCC Public Notice DA 16-1048|You must append "/CEPT" to your call sign|You must identify in the official language of the country in which you are operating
E1C07|At what level below a signal's mean power level is its bandwidth determined according to FCC rules?|C||97.3(a)(8)|3 dB|6 dB|26 dB|23 dB
E1C08|What is the maximum permissible duration of a remotely controlled station's transmissions if its control link malfunctions?|D||97.213|30 seconds|10 minutes|5 minutes|3 minutes
E1C09|What is the highest modulation index permitted at the highest modulation frequency for angle modulation below 29.0 MHz?|B||97.307|0.5|1.0|3.0|2.0
E1C10|What is the permitted mean power of any spurious emission relative to the mean power of the fundamental emission from a station transmitter or external RF amplifier installed after January 1, 2003 and transmitting on a frequency below 30 MHz?|B||97.307|At least 73 dB below|At least 43 dB below|At least 63 dB below|At least 53 dB below
E1C11|Which of the following operating arrangements allows an FCC-licensed U.S. citizen to operate in many European countries, and alien amateurs from many European countries to operate in the U.S.?|C||97.5|IARP agreement|ITU reciprocal license|CEPT agreement|All these choices are correct
E1C12|On what portion of the 630 meter band are phone emissions permitted?|B||97.305(c)|None|The entire band|Only the top 3 kHz|Only the bottom 3 kHz
E1C13|What notifications must be given before transmitting on the 630 meter or 2200 meter bands?|A||97.303(g)|Operators must inform the Utilities Telecom Council of their call sign and coordinates of the station|An environmental impact statement must be filed with the Department of the Interior|Operators must inform the FAA of their intent to operate, giving their call sign and distance to the nearest runway|A special endorsement must be requested from the FCC
E1C14|How long must an operator wait after filing a notification with the Utilities Telecom Commission before operating on the 2200 meter or 630 meter band?|D||97.303(g)|Operations may commence immediately, and may continue unless interference is reported by the UTC|Operators must not operate until approval is received|Operators may not operate until a test signal has been transmitted in coordination with the local power company|Operators may operate after 30 days, providing they have not been told that their station is within 1 km of PLC systems using those frequencies
E1D01|What is the definition of telemetry?|B||97.3|Two-way transmissions in excess of 1000 feet|One-way transmission of measurements at a distance from the measuring instrument|One-way transmission that initiates, modifies, or terminates the functions of a device at a distance|Two-way transmissions of data
E1D02|Which of the following may transmit special codes intended to obscure the meaning of messages?|C||97.211(b)|Data containing personal information|Binary control characters|Telecommand signals from a space telecommand station|Auxiliary relay links carrying repeater audio
E1D03|What is a space telecommand station?|B||97.3(a)(45)|An amateur station located on the surface of the Earth for communication with other Earth stations by means of Earth satellites|An amateur station that transmits communications to initiate, modify or terminate functions of a space station|An amateur station located in a satellite or a balloon more than 50 kilometers above the surface of the earth|An amateur station that receives telemetry from a satellite or balloon more than 50 kilometers above the surface of the earth
E1D04|Which of the following is required in the identification transmissions from a balloon-borne telemetry station?|A||97.119(a)|Call sign|The output power of the balloon transmitter|The station's six-character Maidenhead grid locator|All these choices are correct
E1D05|What must be posted at the station location of a station being operated by telecommand on or within 50 km of the earth's surface?|D||97.213(d)|A label with the name, address, and telephone number of the control operator|A label with the name, address, and telephone number of the station licensee|A photocopy of the station license|All these choices are correct
E1D06|What is the maximum permitted transmitter output power when operating a model craft by telecommand?|C||97.215(c)|100 watts|5 watts|1 watt|2 watts
E1D07|Which HF amateur bands have frequencies authorized for space stations?|B||97.207|Only the 40, 20, 17, 15, and 10 meter bands|Only the 40, 20, 17, 15, 12, and 10 meter bands|Only the 40, 30, 20, 15, 12, and 10 meter bands|All HF bands
E1D08|Which VHF amateur bands have frequencies authorized for space stations?|C||97.207|6 meters, 2 meters, and 1.25 meters|2 meters and 1.25 meters|2 meters|6 meters and 2 meters
E1D09|Which UHF amateur bands have frequencies authorized for space stations?|B||97.207|70 cm and 33 cm|70 cm and 13 cm|33 cm and 13 cm|70 cm only
E1D10|Which amateur stations are eligible to be telecommand stations of space stations (subject to the privileges of the class of operator license held by the control operator of the station)?|A||97.211|Any amateur station so designated by the space station licensee|Any amateur station designated by NASA|Any amateur station so designated by the ITU|All these choices are correct
E1D11|Which amateur stations are eligible to operate as Earth stations?|C||97.209|Any amateur station whose licensee has filed a pre-space notification with the FCC's International Bureau|Only those of Amateur Extra Class operators|Any amateur station, subject to the privileges of the class of operator license held by the control operator|Only those of General, Advanced or Amateur Extra Class operators
E1D12|Which of the following amateur stations may transmit one-way communications?|B||97.207(e), 97.203(g)|A local repeater or linked repeater station|A space station, beacon station, or telecommand station|A message forwarding station or automatically controlled digital station|All these choices are correct
E1E01|For which types of out-of-pocket expenses do the Part 97 rules state that VEs and VECs may be reimbursed?|D||97.527|Providing amateur operator license examination preparation training materials|No expenses are authorized for reimbursement|Teaching an amateur operator license examination preparation course|Preparing, processing, administering, and coordinating an examination for an amateur radio operator license
E1E02|Who does Part 97 task with maintaining the pools of questions for all U.S. amateur license examinations?|A||97.523|The VECs|The FCC|The ARRL|The VEs
E1E03|What is a Volunteer Examiner Coordinator?|B||97.521|A person who has volunteered to prepare amateur operator license examinations|An organization that has entered into an agreement with the FCC to coordinate, prepare, and administer amateur operator license examinations|The person who has entered into an agreement with the FCC to be the VE session manager|A person who has volunteered to administer amateur operator license examinations
E1E04|Which of the following best describes the Volunteer Examiner accreditation process?|C||97.509, 97.525|Each General, Advanced and Amateur Extra Class operator is automatically accredited as a VE when the license is granted|The amateur operator applying must pass a VE examination administered by the FCC Enforcement Bureau|The procedure by which a VEC confirms that the VE applicant meets FCC requirements to serve as an examiner|The prospective VE obtains accreditation from the FCC
E1E05|What is the minimum passing score on all amateur operator license examinations?|C||97.503|Minimum passing score of 77%|Minimum passing score of 80%|Minimum passing score of 74%|Minimum passing score of 70%
E1E06|Who is responsible for the proper conduct and necessary supervision during an amateur operator license examination session?|C||97.509|The VEC coordinating the session|The VE session manager|Each administering VE|The FCC
E1E07|What should a VE do if a candidate fails to comply with the examiner's instructions during an amateur operator license examination?|B||97.509|Allow the candidate to complete the examination, but invalidate the results|Immediately terminate the candidate's examination|Immediately terminate everyone's examination and close the session|Warn the candidate that continued failure to comply will result in termination of the examination
E1E08|To which of the following examinees may a VE not administer an examination?|A||97.509|Relatives of the VE as listed in the FCC rules|Friends of the VE|Employees of the VE|All these choices are correct
E1E09|What may be the penalty for a VE who fraudulently administers or certifies an examination?|B||97.509|A sentence of up to one year in prison|Revocation of the VE's amateur station license grant and the suspension of the VE's amateur operator license grant|A fine of up to $1000 per occurrence|All these choices are correct
E1E10|What must the administering VEs do after the administration of a successful examination for an amateur operator license?|C||97.509(h)|They must collect and send the documents to the NCVEC for grading|They must collect and send the documents to the FCC according to instructions|They must submit the application document to the coordinating VEC according to the coordinating VEC instructions|They must collect and submit the documents to the coordinating VEC for grading
E1E11|What must the VE team do if an examinee scores a passing grade on all examination elements needed for an upgrade or new license?|B||97.509(m)|Issue the examinee the new or upgrade license|Three VEs must certify that the examinee is qualified for the license grant and that they have complied with the administering VE requirements|Photocopy all examination documents and forward them to the FCC for processing|All these choices are correct
E1E12|What must the VE team do with the application form if the examinee does not pass the exam?|A||97.509(j)|Return the application document to the examinee|Send the application form to the FCC and inform the FCC of the grade|Maintain the application form with the VEC's records|Destroy the application form
E1F01|On what frequencies are spread spectrum transmissions permitted?|B||97.305|Only on amateur frequencies above 50 MHz|Only on amateur frequencies above 222 MHz|Only on amateur frequencies above 420 MHz|Only on amateur frequencies above 144 MHz
E1F02|What privileges are authorized in the U.S. to persons holding an amateur service license granted by the government of Canada?|A||97.107|The operating terms and conditions of the Canadian amateur service license, not to exceed U.S. Amateur Extra Class license privileges|All privileges of the Amateur Extra Class license|Full privileges, up to and including those of the Amateur Extra Class license, on the 80, 40, 20, 15, and 10 meter bands|None, they must obtain a U.S. license
E1F03|Under what circumstances may a dealer sell an external RF power amplifier capable of operation below 144 MHz if it has not been granted FCC certification?|B||97.315|The equipment dealer assembled it from a kit|It was purchased in used condition from an amateur operator and is sold to another amateur operator for use at that operator's station|It was imported from a manufacturer in another country and was certificated by that country's government|It was imported from a manufacturer in a country that does not require certification of RF power amplifiers
E1F04|Which of the following geographic descriptions approximately describes "Line A"?|B||97.3|A line roughly parallel to and west of the U.S. Atlantic coastline|A line roughly parallel to and south of the border between the U.S. and Canada|A line roughly parallel to and north of the border between the U.S. and Mexico|A line roughly parallel to and east of the U.S. Pacific coastline
E1F05|Amateur stations may not transmit in which of the following frequency segments if they are located in the contiguous 48 states and north of Line A?|D||97.303|440 MHz - 450 MHz|222 MHz - 223 MHz|53 MHz - 54 MHz|420 MHz - 430 MHz
