E1A01|Which of the following carrier frequencies is illegal for LSB AFSK emissions on the 17 meter band RTTY and data segment of 18.068 to 18.110 MHz?|D||97.305, 97.307(b)|18.110 MHz|18.100 MHz|18.107 MHz|18.068 MHz
E1A02|When using a transceiver that displays the carrier frequency of phone signals, which of the following displayed frequencies represents the lowest frequency at which a properly adjusted LSB emission will be totally within the band?|C||97.301, 97.305|1 kHz above the lower band edge|The exact lower band edge|3 kHz above the lower band edge|300 Hz above the lower band edge
E1A03|What is the maximum legal carrier frequency on the 20 meter band for transmitting USB AFSK digital signals having a 1 kHz bandwidth?|B||97.305, 97.307(b)|14.070 MHz|14.149 MHz|14.100 MHz|14.349 MHz
E1A04|With your transceiver displaying the carrier frequency of phone signals, you hear a DX station calling CQ on 3.601 MHz LSB. Is it legal to return the call using lower sideband on the same frequency?|A||97.301, 97.305|No, the sideband will extend beyond the edge of the phone band segment|No, U.S. stations are not permitted to use phone emissions below 3.610 MHz|Yes, because the DX station initiated the contact|Yes, because the displayed frequency is within the 75 meter phone band segment
E1A05|What is the maximum power output permitted on the 60 meter band?|D||97.313|50 watts PEP effective radiated power relative to a dipole|100 watts PEP effective radiated power relative to an isotropic radiator|50 watts PEP effective radiated power relative to an isotropic radiator|100 watts PEP effective radiated power relative to the gain of a half-wave dipole
E1A06|Where must the carrier frequency of a CW signal be set to comply with FCC rules for 60 meter operation?|A||97.303(h)(1)|At the center frequency of the channel|At the highest frequency of the channel|At the lowest frequency of the channel|On any frequency where the signal's sidebands are within the channel
E1A07|What is the maximum power permitted on the 2200 meter band?|A||97.313(k)|1 watt EIRP (Equivalent isotropic radiated power)|50 watts PEP|5 watts EIRP (Equivalent isotropic radiated power)|100 watts PEP
E1A08|If a station in a message forwarding system inadvertently forwards a message that is in violation of FCC rules, who is primarily accountable for the rules violation?|D||97.219|The control operators of all the stations in the system|The control operator of the packet bulletin board station|The control operators of all the stations in the system not authenticating the source from which they accept communications|The control operator of the originating station
E1A09|What action or actions should you take if your digital message forwarding station inadvertently forwards a communication that violates FCC rules?|C||97.219|All these choices are correct|Notify the nearest FCC Field Engineers office|Discontinue forwarding the communication as soon as you become aware of it|Notify the originating station that the communication does not comply with FCC rules
E1A10|If an amateur station is installed aboard a ship or aircraft, what condition must be met before the station is operated?|D||97.11|The amateur operator must have an FCC Marine or Aircraft endorsement on his or her amateur license|The amateur station must have a power supply that is completely independent of the main ship or aircraft power supply|The amateur station operator must agree not to transmit when the main radio of the ship or aircraft is in use|Its operation must be approved by the master of the ship or the pilot in command of the aircraft
E1A11|Which of the following describes authorization or licensing required when operating an amateur station aboard a U.S.-registered vessel in international waters?|C||97.5|Any amateur license with an FCC Marine or Aircraft endorsement|An unrestricted Radiotelephone Operator Permit|Any FCC-issued amateur license|Only General Class or higher amateur licenses
E1A12|What special operating frequency restrictions are imposed on slow scan TV transmissions?|B|||They are restricted to 7.245 MHz, 14.245 MHz, 21.345 MHz, and 28.945 MHz|They are restricted to phone band segments|They are not permitted above 54 MHz|None; they are allowed on all amateur frequencies
