G1A01|On which HF/MF bands is a General class license holder granted all amateur frequency privileges?|C||97.301(d)|160 meters, 30 meters, 17 meters, 15 meters, 12 meters, and 10 meters|160 meters, 80 meters, 40 meters, and 10 meters|160 meters, 60 meters, 30 meters, 17 meters, 12 meters, and 10 meters|60 meters, 20 meters, 17 meters, and 12 meters
G1A02|On which of the following bands is phone operation prohibited?|D||97.305|160 meters|12 meters|17 meters|30 meters
G1A03|On which of the following bands is image transmission prohibited?|A||97.305|30 meters|160 meters|12 meters|20 meters
G1A04|Which of the following amateur bands is restricted to communication only on specific channels, rather than frequency ranges?|C||97.303(h)|30 meters|12 meters|60 meters|11 meters
G1A05|Which of the following frequencies is in the General class portion of the 40-meter band in ITU Region 2?|C||97.301(d)|7.500 MHz|40.200 MHz|7.250 MHz|40.500 MHz
G1A06|Which of the following frequencies is within the General class portion of the 75-meter phone band?|A||97.301(d)|3900 kHz|3750 kHz|4005 kHz|1875 kHz
G1A07|Which of the following frequencies is within the General class portion of the 20-meter phone band?|B||97.301(d)|14405 kHz|14305 kHz|14105 kHz|14005 kHz
G1A08|Which of the following frequencies is within the General class portion of the 80-meter band?|D||97.301(d)|2560 kHz|1855 kHz|3650 kHz|3560 kHz
G1A09|Which of the following frequencies is within the General class portion of the 15-meter band?|A||97.301(d)|21300 kHz|24900 kHz|18155 kHz|14250 kHz
G1A10|Which of the following frequencies is available to a control operator holding a General class license?|D||97.301(d)|28.350 MHz|28.550 MHz|28.020 MHz|All these choices are correct
G1A11|When General class licensees are not permitted to use the entire voice portion of a band, which portion of the voice segment is generally available to them?|D||97.301|The upper frequency end on frequencies below 7.3 MHz, and the lower end on frequencies above 14.150 MHz|The lower frequency end|The lower frequency end on frequencies below 7.3 MHz, and the upper end on frequencies above 14.150 MHz|The upper frequency end
G1A12|Which of the following applies when the FCC rules designate the Amateur Service as a secondary user on a band?|C||97.303|Amateur stations may only operate during specific hours of the day, while primary users are permitted 24-hour use of the band|Amateur stations must record the call sign of the primary service station before operating on a frequency assigned to that station|Amateur stations can use the band only if they do not cause harmful interference to primary users|Amateur stations can use the band only during emergencies
