G1A01|On which HF/MF bands is a General class license holder granted all amateur frequency privileges?|C||97.301(d)|160 meters, 30 meters, 17 meters, 15 meters, 12 meters, and 10 meters|160 meters, 80 meters, 40 meters, and 10 meters|160 meters, 60 meters, 30 meters, 17 meters, 12 meters, and 10 meters|60 meters, 20 meters, 17 meters, and 12 meters
G1A02|On which of the following bands is phone operation prohibited?|D||97.305|17 meters|160 meters|12 meters|30 meters
G1A03|On which of the following bands is image transmission prohibited?|C||97.305|160 meters|20 meters|30 meters|12 meters
G1A04|Which of the following amateur bands is restricted to communication only on specific channels, rather than frequency ranges?|B||97.303(h)|30 meters|60 meters|11 meters|12 meters
G1A05|Which of the following frequencies is in the General class portion of the 40-meter band in ITU Region 2?|C||97.301(d)|7.500 MHz|40.500 MHz|7.250 MHz|40.200 MHz
G1A06|Which of the following frequencies is within the General class portion of the 75-meter phone band?|B||97.301(d)|3750 kHz|3900 kHz|1875 kHz|4005 kHz
G1A07|Which of the following frequencies is within the General class portion of the 20-meter phone band?|A||97.301(d)|14305 kHz|14005 kHz|14405 kHz|14105 kHz
G1A08|Which of the following frequencies is within the General class portion of the 80-meter band?|A||97.301(d)|3560 kHz|1855 kHz|3650 kHz|2560 kHz
G1A09|Which of the following frequencies is within the General class portion of the 15-meter band?|B||97.301(d)|24900 kHz|21300 kHz|14250 kHz|18155 kHz
G1A10|Which of the following frequencies is available to a control operator holding a General class license?|A||97.301(d)|All these choices are correct|28.550 MHz|28.350 MHz|28.020 MHz
G1A11|When General class licensees are not permitted to use the entire voice portion of a band, which portion of the voice segment is generally available to them?|C||97.301|The lower frequency end|The upper frequency end on frequencies below 7.3 MHz, and the lower end on frequencies above 14.150 MHz|The upper frequency end|The lower frequency end on frequencies below 7.3 MHz, and the upper end on frequencies above 14.150 MHz
G1A12|Which of the following applies when the FCC rules designate the Amateur Service as a secondary user on a band?|B||97.303|Amateur stations can use the band only during emergencies|Amateur stations can use the band only if they do not cause harmful interference to primary users|Amateur stations may only operate during specific hours of the day, while primary users are permitted 24-hour use of the band|Amateur stations must record the call sign of the primary service station before operating on a frequency assigned to that station
G1A13|What is the appropriate action if, when operating on either the 30-meter or 60-meter bands, a station in the primary service interferes with your contact?|C||97.303(5)(h)(2)(j)|Increase your transmitter’s power to overcome the interference|Attempt to contact the station and request that it stop the interference|Move to a clear frequency or stop transmitting|Notify the FCCs regional Engineer in Charge of the interference
G1A14|Which of the following may apply in areas under FCC jurisdiction outside of ITU Region 2?|D||97.301(d)|Digital transmission may not be permitted|Station identification may have to be in a language other than English|Morse code may not be permitted|Frequency allocations may differ
G1A15|What portion of the 10-meter band is available for repeater use?|D||97.205(b)|The portion between 28.3 MHz and 28.5 MHz|The entire band|The portion between 28.1 MHz and 28.2 MHz|The portion above 29.5 MHz
G1B01|What is the maximum height above ground to which an antenna structure may be erected without requiring notification to the FAA and registration with the FCC, provided it is not at or near a public use airport?|D||97.15(a)|100 feet|50 feet|300 feet|200 feet
G1B02|With which of the following conditions must beacon stations comply?|B||97.203(b)|A beacon station may not use automatic control|There must be no more than one beacon signal transmitting in the same band from the same station location|The frequency must be coordinated with the National Beacon Organization|The frequency must be posted on the internet or published in a national periodical
G1B03|Which of the following is a purpose of a beacon station as identified in the FCC rules?|D||97.3(a)(9)|Identifying net frequencies|Automatic identification of repeaters|Transmission of bulletins of general interest to Amateur Radio licensees|Observation of propagation and reception
G1B04|Which of the following transmissions is permitted?|A||97.113(c)|Occasional retransmission of weather and propagation forecast information from U.S. government stations|Coded messages of any kind, if not intended to facilitate a criminal act|Retransmission of other amateur station signals by any amateur station|Unidentified transmissions for test purposes only
G1B05|Which of the following one-way transmissions are permitted?|D||97.111((5)(b)|Unidentified test transmissions of less than one minute in duration|All these choices are correct|Regular transmissions offering equipment for sale, if intended for Amateur Radio use|Transmissions necessary to assist learning the International Morse code
G1B06|Under what conditions are state and local governments permitted to regulate Amateur Radio antenna structures?|D||97.15(b), PRB-1, 101 FCC 2d 952 (1985)|Only when such structures exceed 50 feet in height and are clearly visible 1000 feet from the structure|Under no circumstances, FCC rules take priority|At any time and to any extent necessary to accomplish a legitimate purpose of the state or local entity, provided that proper filings are made with the FCC|Amateur Service communications must be reasonably accommodated, and regulations must constitute the minimum practical to accommodate a legitimate purpose of the state or local entity
G1B07|What are the restrictions on the use of abbreviations or procedural signals in the Amateur Service?|B||97.113(a)(4)|Only “Q” signals are permitted|They may be used if they do not obscure the meaning of a message|They are not permitted|Only “10 codes” are permitted
