T1A01-Technician-us-2018-2022|T1A01|Which of the following is a purpose of the Amateur Radio Service as stated in the FCC rules and regulations?|A||97.1|Advancing skills in the technical and communication phases of the radio art|Providing communications for international non-profit organizations|Providing personal radio communications for as many citizens as possible|All of these choices are correct
T1A02-Technician-us-2018-2022|T1A02|Which agency regulates and enforces the rules for the Amateur Radio Service in the United States?|A||97.1|The FCC|FEMA|Homeland Security|All of these choices are correct
T1A03-Technician-us-2018-2022|T1A03|What are the FCC rules regarding the use of a phonetic alphabet for station identification in the Amateur Radio Service?|B||97.119(b)(2)|It is required when in contact with foreign stations|It is encouraged|It is prohibited|It is required when transmitting emergency messages
T1A04-Technician-us-2018-2022|T1A04|How many operator/primary station license grants may be held by any one person?|D||97.5(b)(1)|One for each band on which the person plans to operate|One for each permanent station location from which the person plans to operate|No more than two|One
T1A05-Technician-us-2018-2022|T1A05|What is proof of possession of an FCC-issued operator/primary license grant?|C||97.7|The control operator must have an operator/primary station license in his or her possession when in control of a transmitter|A printed operator/primary station license issued by the FCC must be displayed at the transmitter site|The control operator's operator/primary station license must appear in the FCC ULS consolidated licensee database|All of these choices are correct
T1A06-Technician-us-2018-2022|T1A06|What is the FCC Part 97 definition of a beacon?|C||97.3(a)(9)|A continuous transmission of weather information authorized in the amateur bands by the National Weather Service|A bulletin sent by the FCC to announce a national emergency|An amateur station transmitting communications for the purposes of observing propagation or related experimental activities|A government transmitter marking the amateur radio band edges
T1A07-Technician-us-2018-2022|T1A07|What is the FCC Part 97 definition of a space station?|B||97.3(a)(41)|A manned satellite orbiting the earth|An amateur station located more than 50 km above the Earth's surface|An amateur station using amateur radio satellites for relay of signals|Any satellite orbiting the earth
T1A08-Technician-us-2018-2022|T1A08|Which of the following entities recommends transmit/receive channels and other parameters for auxiliary and repeater stations?|B||97.3(a)(22)|FCC Regional Field Office|Volunteer Frequency Coordinator recognized by local amateurs|International Telecommunications Union|Frequency Spectrum Manager appointed by the FCC
T1A09-Technician-us-2018-2022|T1A09|Who selects a Frequency Coordinator?|C||97.3(a)(22)|FCC Regional Field Office|The local chapter of the Office of National Council of Independent Frequency Coordinators|Amateur operators in a local or regional area whose stations are eligible to be repeater or auxiliary stations|The FCC Office of Spectrum Management and Coordination Policy
T1A10-Technician-us-2018-2022|T1A10|Which of the following describes the Radio Amateur Civil Emergency Service (RACES)?|D||97.3(a)(38), 97.407|A radio service using amateur frequencies for emergency management or civil defense communications|A radio service using amateur stations for emergency management or civil defense communications|An emergency service using amateur operators certified by a civil defense organization as being enrolled in that organization|All of these choices are correct
T1A11-Technician-us-2018-2022|T1A11|When is willful interference to other amateur radio stations permitted?|A||97.101 (d)|At no time|When making short test transmissions|To stop another amateur station which is breaking the FCC rules|At any time, stations in the Amateur Radio Service are not protected from willful interference
T1B01-Technician-us-2018-2022|T1B01|What is the International Telecommunications Union (ITU)?|D|||A department of the FCC|An independent frequency coordination agency|An agency of the United States Department of Telecommunications Management|A United Nations agency for information and communication technology issues
T1B02-Technician-us-2018-2022|T1B02|Which amateur radio stations may make contact with an amateur radio station on the International Space Station (ISS) using 2 meter and 70 cm band frequencies?|C||97.301, 97.207(c)|Only the astronaut's family members who are hams|Only members of amateur radio clubs at NASA facilities|Any amateur holding a Technician or higher-class license|Contacts with the ISS are not permitted on amateur radio frequencies
T1B03-Technician-us-2018-2022|T1B03|Which frequency is within the 6 meter amateur band?|D||97.301(a)|49.00 MHz|222.15 MHz|28.50 MHz|52.525 MHz
T1B04-Technician-us-2018-2022|T1B04|Which amateur band are you using when your station is transmitting on 146.52 MHz?|D||97.301(a)|14 meter band|20 meter band|6 meter band|2 meter band
T1B05-Technician-us-2018-2022|T1B05|What is the limitation for emissions on the frequencies between 219 and 220 MHz?|A||97.305(c)|Fixed digital message forwarding systems only|Emergency traffic only|Fast-scan television only|Spread spectrum only
T1B06-Technician-us-2018-2022|T1B06|On which HF bands does a Technician class operator have phone privileges?|D||97.301(e), 97.305|80 meter, 40 meter, 15 meter and 10 meter bands|None|30 meter band only|10 meter band only
