T1A01|Which of the following is a purpose of the Amateur Radio Service as stated in the FCC rules and regulations?|A||97.1|Advancing skills in the technical and communication phases of the radio art|Providing communications for international non-profit organizations|Providing personal radio communications for as many citizens as possible|All of these choices are correct
T1A02|Which agency regulates and enforces the rules for the Amateur Radio Service in the United States?|B||97.1|Homeland Security|The FCC|FEMA|All of these choices are correct
T1A03|What are the FCC rules regarding the use of a phonetic alphabet for station identification in the Amateur Radio Service?|C||97.119(b)(2)|It is required when transmitting emergency messages|It is required when in contact with foreign stations|It is encouraged|It is prohibited
T1A04|How many operator/primary station license grants may be held by any one person?|B||97.5(b)(1)|One for each permanent station location from which the person plans to operate|One|No more than two|One for each band on which the person plans to operate
T1A05|What is proof of possession of an FCC-issued operator/primary license grant?|B||97.7|A printed operator/primary station license issued by the FCC must be displayed at the transmitter site|The control operator's operator/primary station license must appear in the FCC ULS consolidated licensee database|The control operator must have an operator/primary station license in his or her possession when in control of a transmitter|All of these choices are correct
T1A06|What is the FCC Part 97 definition of a beacon?|A||97.3(a)(9)|An amateur station transmitting communications for the purposes of observing propagation or related experimental activities|A bulletin sent by the FCC to announce a national emergency|A continuous transmission of weather information authorized in the amateur bands by the National Weather Service|A government transmitter marking the amateur radio band edges
T1A07|What is the FCC Part 97 definition of a space station?|B||97.3(a)(41)|A manned satellite orbiting the earth|An amateur station located more than 50 km above the Earth's surface|An amateur station using amateur radio satellites for relay of signals|Any satellite orbiting the earth
T1A08|Which of the following entities recommends transmit/receive channels and other parameters for auxiliary and repeater stations?|D||97.3(a)(22)|FCC Regional Field Office|Frequency Spectrum Manager appointed by the FCC|International Telecommunications Union|Volunteer Frequency Coordinator recognized by local amateurs
T1A09|Who selects a Frequency Coordinator?|D||97.3(a)(22)|The local chapter of the Office of National Council of Independent Frequency Coordinators|FCC Regional Field Office|The FCC Office of Spectrum Management and Coordination Policy|Amateur operators in a local or regional area whose stations are eligible to be repeater or auxiliary stations
T1A10|Which of the following describes the Radio Amateur Civil Emergency Service (RACES)?|D||97.3(a)(38), 97.407|A radio service using amateur stations for emergency management or civil defense communications|An emergency service using amateur operators certified by a civil defense organization as being enrolled in that organization|A radio service using amateur frequencies for emergency management or civil defense communications|All of these choices are correct
